
2.2.2015 - 21:22 [SGA]DOOZYJude killed #fab8fcMiley_Cyrus for: <3
3.2.2015 - 3:54 -]alw[-#fff000MoshPit killed Mad#ff0000Max#00dd00DZ for: blck
3.2.2015 - 3:55 -]alw[-#fff000MoshPit killed Mad#ff0000Max#00dd00DZ for: blck
3.2.2015 - 13:30 [SGA]DOOZYJude killed [DV]BUROV for: ass
3.2.2015 - 17:34 SandySweet killed #00FFFF[VIP]#FF0000Fun for: DONTBLOCKTHEFUCKINGROAD
3.2.2015 - 17:39 SandySweet killed Misigt321 for: noo9000b000000b00 BLOCKER
3.2.2015 - 21:41 [SGA]DOOZYJude killed [LFS]robson. for: ass
5.2.2015 - 17:49 [SGA]DOOZYJude killed [uDka]Granderski_Do$ for: dd
5.2.2015 - 17:50 [SGA]DOOZYJude killed MessyWasp40 for: ff
5.2.2015 - 19:34 SandySweet killed fail for: idiot
5.2.2015 - 19:35 SandySweet killed fail for: idiot\
6.2.2015 - 16:22 SandySweet killed #99ff00SzymonDaun for: daun
6.2.2015 - 22:50 SandySweet killed fail for: idiot
6.2.2015 - 22:50 SandySweet killed fail for: idiot
6.2.2015 - 22:56 SandySweet killed [uDka]Granderski_Do$ for: blocker
8.2.2015 - 7:0 -]alw[-#fff000MoshPit killed #000000Psychosis for: blc
8.2.2015 - 16:45 [SiK]PauerfC_Cl killed lesik for: idiot
8.2.2015 - 19:31 [SiK]PauerfC_Cl killed _B.R.EM._#FF0000BERKAY for: blocker
8.2.2015 - 19:31 [SiK]PauerfC_Cl killed _B.R.EM._#FF0000BERKAY for: blocker
8.2.2015 - 19:31 [SiK]PauerfC_Cl killed [SWAT]Altair for: blocker
8.2.2015 - 19:32 [SiK]PauerfC_Cl killed =FoX=n00b_JULI for: blocker
8.2.2015 - 19:32 [SiK]PauerfC_Cl killed Deganti_Vagina for: blocker
8.2.2015 - 19:32 [SiK]PauerfC_Cl killed =FoX=n00b_JULI for: blocker
8.2.2015 - 19:33 [SiK]PauerfC_Cl killed TastyOperative36 for: enter
8.2.2015 - 23:25 SandySweet killed #FF0000Carinha for: fdp
9.2.2015 - 19:58 [SGA]DOOZYJude killed [uDka]#7FFF00ZILINS for: dd
10.2.2015 - 14:43 SandySweet killed [uDka]Granderski_Do$ for: idiot
10.2.2015 - 14:49 SandySweet killed [uDka]Granderski_Do$ for: asd
10.2.2015 - 15:7 SandySweet killed [uDka]Granderski_Do$ for: block
10.2.2015 - 20:29 [SGA]DOOZYJude killed [uDka]Granderski_Do$ for: looooooooooooooooooooooooooooool
11.2.2015 - 9:51 -]alw[-#fff000MoshPit killed ProTurkish for: blck
11.2.2015 - 10:34 SandySweet killed ProTurkish for: idiot
11.2.2015 - 10:35 SandySweet killed ProTurkish for: wrongdirectionnoob
11.2.2015 - 10:41 -]alw[-#fff000MoshPit killed ProTurkish for: noob
11.2.2015 - 17:58 [SGA]#CCFF33pingeris killed stefanbula for: block
12.2.2015 - 14:17 SandySweet killed [AMGD]Muhammed[BSK] for: idiot o.,c
13.2.2015 - 0:26 SandySweet killed Nimrod for: idiot
13.2.2015 - 14:4 SandySweet killed Guest630 for: asd
13.2.2015 - 14:4 SandySweet killed Guest630 for: banned
13.2.2015 - 14:4 SandySweet killed Guest630 for: banned
13.2.2015 - 14:4 SandySweet killed Guest630 for: asd
13.2.2015 - 17:15 [SGA]DOOZYJude killed [uDka]#7FFF00ZILINS for: noob
13.2.2015 - 18:3 #FFD000Bob_Taylor killed [uDka]#7FFF00ZILINS for: nub
14.2.2015 - 12:50 [SiK]PauerfC_Cl killed [uDka]#7FFF00ZILINS for: blocker
14.2.2015 - 12:56 [SiK]PauerfC_Cl killed [uDka]#7FFF00ZILINS for: blocker
14.2.2015 - 20:23 [SiK]PauerfC_Cl killed PutinSucksBalls for: blocking idiot
15.2.2015 - 14:44 [SGA]DOOZYJude killed T300 for: kiss my ass
15.2.2015 - 19:3 [SiK]PauerfC_Cl killed Seagull for: let me help you
15.2.2015 - 19:50 [SiK]PauerfC_Cl killed [uDka]#7FFF00ZILINS for: blcoker
15.2.2015 - 20:29 [SGA]DOOZYJude killed Alex#000fffSolo for: ss
15.2.2015 - 21:5 [SGA]DOOZYJude killed lethal(gang)caneo35 for: block
15.2.2015 - 21:6 [SGA]DOOZYJude killed lethal(gang)caneo35 for: block
15.2.2015 - 21:6 [SGA]DOOZYJude killed lethal(gang)caneo35 for: ping
16.2.2015 - 16:13 [SiK]PauerfC_Cl killed Nero for: blocker
16.2.2015 - 17:17 [SGA]DOOZYJude killed EliTeXz for: ping
17.2.2015 - 17:29 [SiK]PauerfC_Cl killed Bonszi for: blocker
17.2.2015 - 17:29 [SiK]PauerfC_Cl killed bg4ever for: blocker
17.2.2015 - 21:21 [SGA]DOOZYJude killed #000000No-#00ff00name for: ?=!
18.2.2015 - 2:48 -]alw[-#fff000MoshPit killed FlacoElias for: rammer
18.2.2015 - 19:41 [SGA]DOOZYJude killed #1E90FFMusta for: test
18.2.2015 - 20:15 [SGA]DOOZYJude killed Bonszi for: ff
18.2.2015 - 20:15 [SGA]DOOZYJude killed Anukas69 for: ff
18.2.2015 - 20:16 [SGA]DOOZYJude killed Anukas69 for: ff
19.2.2015 - 15:49 [SGA]DOOZYJude killed Rome for: you know
19.2.2015 - 15:52 [SGA]DOOZYJude killed Brima for: ff
19.2.2015 - 16:33 [SGA]DOOZYJude killed Rome for: stop being retard
20.2.2015 - 8:56 -]alw[-#fff000MoshPit killed [LcP*]TicimitsS$u for: blck
20.2.2015 - 13:51 SandySweet killed [SGA]DOOZYJude for: asd
20.2.2015 - 14:5 SandySweet killed DRONN for: syja
20.2.2015 - 15:15 [SiK]PauerfC_Cl killed [LGS]Crack for: blocker
20.2.2015 - 15:16 [SiK]PauerfC_Cl killed [LGS]Crack for: still an idiot
20.2.2015 - 15:16 [SiK]PauerfC_Cl killed [LGS]Crack for: blocker
20.2.2015 - 15:16 [SiK]PauerfC_Cl killed [LGS]Crack for: blovker
20.2.2015 - 17:57 SandySweet killed [dLb]Semert for: zz
20.2.2015 - 18:18 SandySweet killed BRA#FFD700ZZ#FFFFFFERS for: pizda
20.2.2015 - 19:2 [dLb]Semen killed #00FFFFBulat_Bulka for: suka
20.2.2015 - 19:3 [dLb]Semen killed McVag for: Vagina
20.2.2015 - 19:14 [SGA]Jack123 killed valera for: noob
20.2.2015 - 19:26 [dLb]Semen killed valera for: bloooocoock
20.2.2015 - 20:53 [SGA]Jack123 killed Alex#000fffSolo for: idiot
